0,9134.218226
1,9134.218226
2,9134.218226
3,9134.218226
4,9134.218226
5,9134.218226
6,9134.218226
7,9134.218226
8,9134.218226
9,9134.218226
10,9130.0
11,9130.0
12,9130.0
13,9130.0
14,9130.0
15,9130.0
16,9130.0
17,9120.0
18,9120.0
19,9120.0
20,9120.0
21,9120.0
22,9110.0
23,9110.0
24,9110.0
25,9110.0
26,9100.0
27,9100.0
28,9100.0
29,9100.0
30,9090.0
31,9090.0
32,9090.0
33,9080.0
34,9080.0
35,9080.0
36,9070.0
37,9070.0
38,9070.0
39,9060.0
40,9060.0
41,9050.0
42,9050.0
43,9050.0
44,9040.0
45,9040.0
46,9030.0
47,9030.0
48,9020.0
49,9020.0
50,9010.0
51,9010.0
52,9000.0
53,9000.0
54,8990.0
55,8990.0
56,8980.0
57,8970.0
58,8970.0
59,8960.0
60,8960.0
61,8950.0
62,8940.0
63,8940.0
64,8930.0
65,8930.0
66,8920.0
67,8910.0
68,8910.0
69,8900.0
70,8890.0
71,8880.0
72,8880.0
73,8870.0
74,8860.0
75,8850.0
76,8850.0
77,8840.0
78,8830.0
79,8820.0
80,8820.0
81,8810.0
82,8800.0
83,8790.0
84,8780.0
85,8770.0
86,8770.0
87,8760.0
88,8750.0
89,8740.0
90,8730.0
91,8720.0
92,8710.0
93,8700.0
94,8690.0
95,8690.0
96,8680.0
97,8670.0
98,8660.0
99,8650.0
100,8640.0
101,8630.0
102,8620.0
103,8610.0
104,8600.0
105,8590.0
106,8580.0
107,8570.0
108,8550.0
109,8540.0
110,8530.0
111,8520.0
112,8510.0
113,8500.0
114,8490.0
115,8480.0
116,8470.0
117,8460.0
118,8440.0
119,8430.0
120,8420.0
121,8410.0
122,8400.0
123,8380.0
124,8370.0
125,8360.0
126,8350.0
127,8340.0
128,8320.0
129,8310.0
130,8300.0
131,8290.0
132,8270.0
133,8260.0
134,8250.0
135,8230.0
136,8220.0
137,8210.0
138,8190.0
139,8180.0
140,8170.0
141,8150.0
142,8140.0
143,8130.0
144,8110.0
145,8100.0
146,8090.0
147,8070.0
148,8060.0
149,8040.0
150,8030.0
151,8010.0
152,8000.0
153,7990.0
154,7970.0
155,7960.0
156,7940.0
157,7930.0
158,7910.0
159,7900.0
160,7880.0
161,7870.0
162,7850.0
163,7840.0
164,7820.0
165,7800.0
166,7790.0
167,7770.0
168,7760.0
169,7740.0
170,7730.0
171,7710.0
172,7690.0
173,7680.0
174,7660.0
175,7640.0
176,7630.0
177,7610.0
178,7600.0
179,7580.0
180,7560.0
181,7550.0
182,7530.0
183,7510.0
184,7490.0
185,7480.0
186,7460.0
187,7440.0
188,7430.0
189,7410.0
190,7390.0
191,7370.0
192,7360.0
193,7340.0
194,7320.0
195,7300.0
196,7290.0
197,7270.0
198,7250.0
199,7230.0
200,7210.0
201,7200.0
202,7180.0
203,7160.0
204,7140.0
205,7120.0
206,7100.0
207,7090.0
208,7070.0
209,7050.0
210,7030.0
211,7010.0
212,6990.0
213,6970.0
214,6950.0
215,6930.0
216,6920.0
217,6900.0
218,6880.0
219,6860.0
220,6840.0
221,6820.0
222,6800.0
223,6780.0
224,6760.0
225,6740.0
226,6720.0
227,6700.0
228,6680.0
229,6660.0
230,6640.0
231,6620.0
232,6600.0
233,6580.0
234,6560.0
235,6540.0
236,6520.0
237,6500.0
238,6480.0
239,6460.0
240,6440.0
241,6420.0
242,6400.0
243,6380.0
244,6360.0
245,6340.0
246,6310.0
247,6290.0
248,6270.0
249,6250.0
250,6230.0
251,6210.0
252,6190.0
253,6170.0
254,6150.0
255,6130.0
256,6100.0
257,6080.0
258,6060.0
259,6040.0
260,6020.0
