0.986143,1.008764,1.106392,1.236795,1.396165,1.58885
3.564391,3.669427,4.1042,4.6577,5.226815,5.735904
7.58076,7.833869,8.857637,10.17374,11.44159,13.1305
12.95267,13.42516,15.31837,17.64767,19.78521,21.79751
19.64029,20.4085,23.42609,27.11857,30.77003,36.17492
27.39172,28.5753,33.07969,37.60979,43.83708,50.19306
36.58998,38.2085,44.31931,51.64831,58.93268,69.08291
47.01785,49.14025,56.93662,66.04178,72.24704,89.00109
58.70405,61.49335,71.75048,83.73512,92.08922,110.132
71.66818,75.26268,88.52157,101.7477,121.4346,132.4304
85.95107,90.51785,106.5882,123.0042,146.9377,159.2877
101.4931,107.3376,126.798,145.3443,167.4331,193.3978
118.685,125.8313,148.4692,172.1856,200.1694,225.7935
137.2831,146.1101,172.2912,200.3677,238.3099,262.6008
157.6049,168.4938,198.5604,231.6771,272.3976,302.8993
180.1931,193.7868,227.7439,266.4015,319.3681,347.753
