0.98614332,1.0076134,1.0884614,1.19879036,1.32018148,1.49750612
3.56439112,3.6617456,4.0270224,4.5022616,5.023414,5.4491844
7.5807604,7.8174196,8.6773144,9.7501308,10.9778116,12.1636728
12.9526724,13.3994164,14.9503116,17.0044868,18.823068,20.8704304
19.6402868,20.3558352,22.789142,26.0160392,29.0203652,32.2453504
27.3917228,28.582374,32.0111312,36.6960984,40.91302,45.998768
36.5899848,38.2557412,43.422604,48.53062,55.189216,62.2834
47.017852,49.165128,55.952016,62.929248,71.032908,80.65232
58.704052,61.520064,70.257868,79.169864,89.610604,101.592352
71.66818,75.293508,86.203736,97.377296,110.560208,124.963156
85.951072,90.549036,103.868332,117.620392,133.82382,151.832936
101.493084,107.26944,123.997288,142.058804,162.045544,185.229476
118.685012,125.828688,144.90196,164.651492,187.46772,214.906088
137.283056,146.083944,168.665328,191.731216,218.562908,250.542888
157.604948,168.26378,194.191096,221.558244,253.285136,289.256036
180.193144,193.243124,223.0655,254.888716,292.228984,331.862628
